Generation,Transportation,Workload,Delay,Unrecycled
1,497.81,28.36,0,0
1,563.88,25.94,0,0
1,563.88,25.94,0,0
1,566.51,17.23,0,0
2,563.88,25.94,0,0
2,497.81,28.36,0,0
2,563.88,25.94,0,0
2,497.81,28.36,0,0
2,563.88,25.94,0,0
2,484.62,34.25,12.36,0
3,497.81,28.36,0,0
3,563.88,25.94,0,0
3,497.81,28.36,0,0
3,474.87,44.94,440.47,0
3,494.09,65.07,244.72,0
3,497.81,28.36,0,0
3,497.81,28.36,0,0
3,497.81,28.36,0,0
3,497.81,28.36,0,0
3,563.88,25.94,0,0
3,563.88,25.94,0,0
3,563.88,25.94,0,0
4,474.87,44.94,440.47,0
4,474.87,44.94,440.47,0
4,563.88,25.94,0,0
4,474.87,44.94,440.47,0
4,497.81,28.36,0,0
4,497.81,28.36,0,0
4,497.81,28.36,0,0
4,474.87,44.94,440.47,0
4,474.87,44.94,440.47,0
4,474.87,44.94,440.47,0
4,497.81,28.36,0,0
4,497.81,28.36,0,0
4,474.87,44.94,440.47,0
4,483.31,75.9,430.67,0
4,474.87,44.94,440.47,0
4,474.87,44.94,440.47,0
4,497.81,28.36,0,0
4,497.81,28.36,0,0
5,474.87,44.94,440.47,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,474.87,44.94,440.47,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,563.88,25.94,0,0
5,497.81,28.36,0,0
5,434.41,135.7,1202.1,0
5,475.03,45.08,422.94,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,477.67,44.75,748.23,0
5,563.88,25.94,0,0
5,563.88,25.94,0,0
5,474.87,44.94,440.47,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,474.87,44.94,440.47,0
5,474.87,44.94,440.47,0
5,497.81,28.36,0,0
5,497.81,28.36,0,0
5,474.87,44.94,440.47,0
5,497.81,28.36,0,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
6,475.03,45.08,422.94,0
6,547.45,16.26,156.43,0
6,466.81,115.6,1202.1,0
6,474.87,44.94,440.47,0
6,477.67,44.75,748.23,0
6,491.13,83.96,229.44,0
6,468.33,44.76,621.71,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
6,434.41,135.7,1202.1,0
6,497.81,28.36,0,0
6,475.03,45.08,422.94,0
6,497.81,28.36,0,0
6,474.87,44.94,440.47,0
6,434.41,135.7,1202.1,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
6,474.87,44.94,440.47,0
6,477.67,44.75,748.23,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
6,474.87,44.94,440.47,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
6,474.87,44.94,440.47,0
6,474.87,44.94,440.47,0
6,563.88,25.94,0,0
6,434.41,135.7,1202.1,0
6,434.41,135.7,1202.1,0
6,475.44,80.77,307.76,0
6,475.44,80.77,307.76,0
6,474.87,44.94,440.47,0
6,497.81,28.36,0,0
6,443.78,107.44,1533.48,0
6,497.81,28.36,0,0
6,563.88,25.94,0,0
6,497.81,28.36,0,0
6,497.81,28.36,0,0
7,474.87,44.94,440.47,0
7,468.33,44.76,621.71,0
7,475.03,45.08,422.94,0
7,497.81,28.36,0,0
7,497.81,28.36,0,0
7,475.03,45.08,422.94,0
7,475.03,45.08,422.94,0
7,475.03,45.08,422.94,0
7,478.76,78.98,311.76,0
7,445.55,110.24,1225.7,0
7,497.81,28.36,0,0
7,497.81,28.36,0,0
7,434.41,135.7,1202.1,0
7,497.81,28.36,0,0
7,475.03,45.08,422.94,0
7,477.67,44.75,748.23,0
7,475.03,45.08,422.94,0
7,475.03,45.08,422.94,0
7,497.81,28.36,0,0
7,475.03,45.08,422.94,0
7,475.03,45.08,422.94,0
7,411.63,68.38,1625.03,0
7,474.87,44.94,440.47,0
7,474.87,44.94,440.47,0
7,497.81,28.36,0,0
7,497.81,28.36,0,0
7,434.41,135.7,1202.1,0
7,475.03,45.08,422.94,0
7,497.81,28.36,0,0
7,475.03,45.08,422.94,0
7,452.08,103.21,1158.87,0
