Generation,Transportation,Workload,Delay,Unrecycled
1,491.45,73.86,296.69,53
1,480.03,243.89,1845.93,88
1,453.77,120.05,341.85,101
1,528.53,148.8,645.09,52
1,409.13,191.44,1565.39,94
1,560.02,56.69,187.88,71
1,547.23,33.6,298.22,55
1,433.15,148.85,881.27,116
1,492.9,47.58,52.87,80
1,716.97,258.7,1389.81,15
1,547.13,84.75,391.59,45
1,480.5,147.89,1052.29,90
1,456.8,103.12,408.95,95
1,466.69,83.03,565.38,96
1,505.21,58.45,50,111
1,481.76,73.54,181.65,121
1,482.2,59.34,124.45,70
1,541.2,51.68,213.57,60
2,471.96,206.33,1540.86,80
2,437.91,112.03,344.99,109
2,505.21,58.45,50,111
2,361.41,90.48,692.24,126
2,463.27,84.32,144.63,120
2,465.78,52.22,745.43,96
2,590.23,114.33,220.18,58
2,453.77,120.05,341.85,101
2,481.76,73.54,181.65,121
2,554.71,111.48,473.24,37
2,376.46,163.54,1242.37,110
2,417.79,188.36,1602.53,87
2,456.33,77.7,563.3,106
2,483.37,52.02,288.37,67
2,448.09,85.46,565.38,122
2,429.14,185.89,1613.01,68
2,373.87,176.54,1565.39,94
2,413.02,134.37,314.21,107
2,560.02,56.69,187.88,71
2,456.8,103.12,408.95,95
2,484.33,178.88,2087.26,57
2,423.49,71.77,143.36,142
2,528.99,58.86,231.57,102
2,591.57,45.03,348.04,55
2,460.96,83.4,354.1,121
2,500.61,58.37,75.06,111
2,515.84,87.33,315.11,53
2,420.82,145.61,1105.32,98
3,417.79,188.36,1602.53,87
3,373.87,176.54,1565.39,94
3,456.33,77.7,563.3,106
3,437.91,112.03,344.99,109
3,456.8,103.12,408.95,95
3,456.8,103.12,408.95,95
3,460.4,259.19,1955.23,73
3,378.68,51.55,286.02,110
3,465.78,52.22,745.43,96
3,465.78,52.22,745.43,96
3,483.37,52.02,288.37,67
3,373.87,176.54,1565.39,94
3,578.08,142.8,1070.18,59
3,503.09,135.57,270.46,92
3,468.16,92.9,667.66,91
3,587.42,113.79,379.03,49
3,471.96,206.33,1540.86,80
3,471.96,206.33,1540.86,80
3,465.78,52.22,745.43,96
3,361.41,90.48,692.24,126
3,409.37,270.17,2358.85,87
3,436.02,81.88,476.85,105
3,375.45,129.03,532.89,123
3,477.87,85.17,271.12,102
3,423.73,187.88,1565.39,87
3,341.95,91.12,644.47,114
3,469.43,67.12,259.86,104
3,379.11,91.07,515.25,93
4,471.96,206.33,1540.86,80
4,434.19,73.45,444.11,95
4,456.8,103.12,408.95,95
4,542.98,131.23,384.41,85
4,404.79,104.46,560.07,99
4,588.32,81.09,286.4,80
4,514.64,112.99,463.55,65
4,519.02,127.04,1554.84,64
4,465.78,52.22,745.43,96
4,437.91,112.03,344.99,109
4,471.96,206.33,1540.86,80
4,387.78,183.27,1682.09,109
4,476.78,105.98,66.97,87
4,437.91,112.03,344.99,109
4,581.68,115.98,590.05,40
4,408.4,76.27,682.54,111
4,368.87,158.44,649.39,119
4,581.96,69.99,1080.18,50
4,460.4,259.19,1955.23,73
4,460.4,259.19,1955.23,73
4,417.79,188.36,1602.53,87
4,471.96,206.33,1540.86,80
4,463.03,64.72,607.48,115
4,560.98,250.6,2236.72,40
4,471.96,206.33,1540.86,80
4,471.96,206.33,1540.86,80
