Generation,Transportation,Workload,Delay,Unrecycled
1,142.26,150.03,55.56,0
1,100.07,0,136.23,23
1,82.2,0,0,45
1,139,601.84,175.79,7
1,62.47,0,19.85,42
1,114.62,53.22,0,19
1,128.88,0,0,10
1,92.93,512.2,0,32
1,85.58,0,38,36
1,112.05,0,38,10
1,157.26,522.47,2.2,0
1,93.38,59.64,0,26
1,89.74,0,139.2,26
1,178.71,26.77,130.01,0
1,77.23,13.68,0,42
1,103.38,0,123.56,32
1,114.62,53.22,0,19
1,116.64,0,288.91,7
1,85.95,6.09,0,36
1,121.02,743.46,55.56,7
2,114.62,53.22,0,19
2,62.47,0,19.85,42
2,116.64,0,288.91,7
2,139,601.84,175.79,7
2,121.02,743.46,55.56,7
2,116.64,0,288.91,7
2,85.58,0,38,36
2,62.47,0,19.85,42
2,114.62,53.22,0,19
2,103.38,0,123.56,32
2,139,601.84,175.79,7
2,139,601.84,175.79,7
2,103.38,0,123.56,32
2,142.26,150.03,55.56,0
2,92.93,512.2,0,32
2,89.74,0,139.2,26
2,114.62,53.22,0,19
2,62.47,0,19.85,42
2,116.64,0,288.91,7
2,89.74,0,139.2,26
2,142.26,150.03,55.56,0
2,173.67,414.87,0.2,0
2,92.93,512.2,0,32
2,89.74,0,139.2,26
2,178.71,26.77,130.01,0
2,100.07,0,136.23,23
2,62.47,0,19.85,42
2,85.58,0,38,36
2,89.74,0,139.2,26
2,114.62,53.22,0,19
2,62.47,0,19.85,42
2,85.58,0,38,36
2,121.02,743.46,55.56,7
2,178.71,26.77,130.01,0
2,100.07,0,136.23,23
2,92.93,512.2,0,32
2,114.62,53.22,0,19
2,100.07,0,136.23,23
2,121.02,743.46,55.56,7
2,161.65,143.26,296.26,0
2,68.05,0,139.2,39
2,62.47,0,19.85,42
2,114.62,53.22,0,19
2,100.07,0,136.23,23
2,116.64,0,288.91,7
2,92.93,512.2,0,32
2,92.93,512.2,0,32
3,62.47,0,19.85,42
3,116.64,0,288.91,7
3,116.64,0,288.91,7
3,116.64,0,288.91,7
3,139,601.84,175.79,7
3,139,601.84,175.79,7
3,116.64,0,288.91,7
3,139,601.84,175.79,7
3,68.05,0,0,39
3,116.64,0,288.91,7
3,116.64,0,288.91,7
3,104.45,241.84,0,23
3,121.02,743.46,81.12,7
3,139,601.84,175.79,7
3,62.47,0,19.85,42
3,62.47,0,19.85,42
3,139,601.84,175.79,7
3,116.64,0,288.91,7
3,139,601.84,175.79,7
3,89.74,0,39.56,26
3,85.7,0,104.72,36
3,139,601.84,175.79,7
3,62.47,0,19.85,42
3,116.64,0,288.91,7
3,142.26,150.03,55.56,0
3,62.47,0,19.85,42
3,62.47,0,19.85,42
3,116.64,0,288.91,7
3,116.64,0,288.91,7
4,62.47,0,19.85,42
4,121.02,743.46,81.12,7
4,68.05,0,0,39
4,104.45,241.84,0,23
4,139,601.84,175.79,7
4,139,601.84,175.79,7
4,113.67,0,187.66,20
4,62.47,0,19.85,42
4,116.64,0,288.91,7
4,152.64,221.71,259.79,13
4,113.59,484.53,0,17
4,139,601.84,175.79,7
4,62.47,0,19.85,42
4,104.45,241.84,0,23
4,104.45,241.84,0,23
4,116.64,0,288.91,7
4,139,601.84,175.79,7
4,139,601.84,175.79,7
4,139,601.84,175.79,7
4,89.74,0,39.56,26
4,62.47,0,19.85,42
4,139,601.84,175.79,7
4,139,601.84,175.79,7
4,104.45,241.84,0,23
4,104.45,241.84,0,23
4,116.64,0,288.91,7
4,121.02,743.46,81.12,7
4,139,601.84,175.79,7
4,139,601.84,175.79,7
4,139,601.84,175.79,7
4,62.47,0,19.85,42
4,139,601.84,175.79,7
4,121.02,743.46,81.12,7
4,116.64,0,288.91,7
4,139,601.84,175.79,7
4,116.64,0,288.91,7
4,104.45,241.84,0,23
4,62.47,0,19.85,42
4,62.47,0,19.85,42
4,109.28,0,214.64,20
4,62.47,0,19.85,42
4,89.74,0,39.56,26
5,139,601.84,39.56,7
5,68.05,0,0,39
5,62.47,0,19.85,42
5,62.47,0,19.85,42
5,104.45,241.84,0,23
5,92.26,0,296.97,32
5,109.21,0,138.23,17
5,139.26,0,138.23,10
5,68.05,0,0,39
5,62.47,0,19.85,42
5,62.47,0,19.85,42
5,121.02,743.46,81.12,7
5,104.45,241.84,0,23
5,116.64,0,288.91,7
5,113.59,484.53,0,17
5,121.02,743.46,81.12,7
5,116.64,0,288.91,7
5,91.23,38.45,0,30
5,62.47,0,19.85,42
5,85.7,0,104.72,36
5,36,0,0,68
5,115.74,0,104.72,29
5,62.47,0,19.85,42
5,121.02,743.46,81.12,7
5,62.47,0,19.85,42
5,62.47,0,19.85,42
6,85.7,0,104.72,36
6,85.7,0,104.72,36
6,104.45,241.84,0,23
6,85.7,0,104.72,36
6,104.45,241.84,0,23
6,113.59,484.53,0,17
6,104.45,241.84,0,23
6,140.41,9.29,0,7
6,68.05,0,0,39
6,104.45,241.84,0,23
6,62.47,0,0,42
6,68.05,0,0,39
6,104.45,241.84,0,23
6,104.45,241.84,0,23
6,139.26,0,138.23,10
6,104.45,241.84,0,23
6,113.59,484.53,0,17
6,109.21,0,138.23,17
6,121.02,743.46,81.12,7
6,113.59,484.53,0,17
6,139.26,0,138.23,10
6,91.23,38.45,0,30
6,89.29,0,19.85,32
6,41.23,0,0,49
6,93.38,59.64,39.56,26
6,109.21,0,138.23,17
6,139.26,0,138.23,10
6,85.7,0,104.72,36
6,113.59,484.53,0,17
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,41.23,0,0,49
7,104.45,241.84,0,23
7,62.47,0,0,42
7,109.21,0,138.23,17
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,109.21,0,138.23,17
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,109.21,0,138.23,17
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,126.89,0,187.66,13
7,41.23,0,0,49
7,106.93,0,227.29,29
7,113.34,0,0,17
7,85.7,0,104.72,36
7,121.02,743.46,81.12,7
7,85.7,0,104.72,36
7,109.21,0,138.23,17
7,109.21,0,138.23,17
7,93.38,59.64,39.56,26
7,109.21,0,138.23,17
7,104.45,241.84,0,23
7,104.45,241.84,0,23
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,85.7,0,104.72,36
7,104.45,241.84,0,23
7,85.7,0,104.72,36
7,109.21,0,138.23,17
7,136.03,0,191.66,7
7,41.23,0,0,49
7,85.95,6.09,0,36
7,109.21,0,138.23,17
7,104.45,241.84,0,23
7,121.02,743.46,81.12,7
7,109.21,0,138.23,17
7,109.21,0,138.23,17
7,104.45,241.84,0,23
7,109.21,0,138.23,17
8,126.89,0,187.66,13
8,126.89,0,187.66,13
8,91.23,38.45,0,30
8,109.21,0,138.23,17
8,85.7,0,0,36
8,41.23,0,0,49
8,126.89,0,187.66,13
8,104.45,241.84,0,23
8,126.89,0,187.66,13
8,104.45,241.84,0,23
8,126.89,0,187.66,13
8,126.89,0,187.66,13
